x,y,attempt,log_attempt,made,missed
66,9,9,0.9542425094393249,3,6
67,9,15,1.1760912590556813,2,13
68,9,9,0.9542425094393249,2,7
69,9,16,1.2041199826559248,8,8
70,9,7,0.8450980400142568,1,6
71,9,15,1.1760912590556813,4,11
72,9,10,1.0,3,7
73,9,11,1.0413926851582251,2,9
74,9,13,1.1139433523068367,5,8
75,9,8,0.9030899869919435,3,5
76,9,9,0.9542425094393249,5,4
77,9,11,1.0413926851582251,6,5
78,9,14,1.146128035678238,7,7
79,9,11,1.0413926851582251,4,7
80,9,3,0.47712125471966244,0,3
81,9,3,0.47712125471966244,0,3
82,9,10,1.0,2,8
83,9,3,0.47712125471966244,1,2
84,9,7,0.8450980400142568,4,3
85,9,4,0.6020599913279624,2,2
86,9,7,0.8450980400142568,1,6
87,9,9,0.9542425094393249,3,6
88,9,1,0.0,0,1
89,9,4,0.6020599913279624,2,2
90,9,4,0.6020599913279624,2,2
91,9,4,0.6020599913279624,3,1
92,9,41,1.6127838567197355,7,34
93,9,63,1.7993405494535817,29,34
94,9,85,1.9294189257142926,34,51
95,9,81,1.9084850188786497,29,52
96,9,52,1.7160033436347992,17,35
97,9,45,1.6532125137753437,16,29
98,9,20,1.3010299956639813,5,15
99,9,22,1.3424226808222062,3,19
0,10,32,1.505149978319906,9,23
1,10,33,1.5185139398778875,10,23
2,10,102,2.0086001717619175,39,63
3,10,99,1.99563519459755,38,61
4,10,55,1.7403626894942439,17,38
5,10,58,1.7634279935629373,16,42
6,10,2,0.3010299956639812,1,1
7,10,2,0.3010299956639812,1,1
9,10,6,0.7781512503836436,2,4
10,10,4,0.6020599913279624,2,2
11,10,2,0.3010299956639812,0,2
12,10,3,0.47712125471966244,1,2
13,10,6,0.7781512503836436,2,4
14,10,6,0.7781512503836436,2,4
15,10,5,0.6989700043360189,1,4
16,10,4,0.6020599913279624,2,2
17,10,6,0.7781512503836436,0,6
18,10,6,0.7781512503836436,3,3
19,10,7,0.8450980400142568,2,5
20,10,10,1.0,4,6
21,10,9,0.9542425094393249,3,6
22,10,13,1.1139433523068367,5,8
23,10,6,0.7781512503836436,2,4
24,10,12,1.0791812460476249,5,7
25,10,13,1.1139433523068367,5,8
26,10,7,0.8450980400142568,3,4
27,10,6,0.7781512503836436,0,6
28,10,12,1.0791812460476249,4,8
29,10,14,1.146128035678238,3,11
30,10,15,1.1760912590556813,4,11
31,10,10,1.0,2,8
32,10,15,1.1760912590556813,5,10
33,10,16,1.2041199826559248,5,11
34,10,18,1.255272505103306,3,15
35,10,25,1.3979400086720377,11,14
36,10,24,1.380211241711606,11,13
37,10,22,1.3424226808222062,5,17
38,10,32,1.505149978319906,8,24
39,10,27,1.4313637641589874,11,16
40,10,106,2.0253058652647704,50,56
41,10,96,1.9822712330395684,32,64
42,10,311,2.4927603890268375,157,154
43,10,305,2.484299839346786,171,134
44,10,498,2.6972293427597176,297,201
45,10,467,2.6693168805661123,285,182
